Username,Handle,Timestamp,Comments,Likes,Retweets,Text
PLANTÃO PATRIOTAS:,@IzaelDamazio,2021-11-14T22:22:21.000Z,"PLANTÃO PATRIOTAS:Em resposta a 
@nikolas_dm
 e 
@DaniloGentili",,,
PLANTÃO PATRIOTAS:,@IzaelDamazio,2021-11-14T22:21:17.000Z,"PLANTÃO PATRIOTAS:Em resposta a 
@Danillowlz
 @nikolas_dm
 e 
@DaniloGentili",,2,8
PLANTÃO PATRIOTAS:,@IzaelDamazio,2021-11-14T22:13:59.000Z,"PLANTÃO PATRIOTAS:Em resposta a 
@Aisha_com_vida
 @nikolas_dm
 e 
@DaniloGentili",,7,23
Luciano Giuseppe,@LucianoGiusepp4,2021-11-14T22:04:52.000Z,"Luciano GiuseppeUm ator medíocre. Após  a mexida na Lei Rouanet, virou comunista, e fala mal de Bolsonaro. Imbecil.",,,
Destro,@DESTROJMB2022,2021-11-14T21:56:56.000Z,"DestroEm resposta a 
@brom_elisa
 @mfriasoficial
 e 
@andreporci",,,
Joao Marcelo,@jmbcosta,2021-11-14T21:56:25.000Z,"Joao MarceloAos mamadores de Lei Rouanet!! Aprendam essa lição com uma verdadeira artista brasileira! Sempre fui fã e agora bateu uma saudade forte, pois não se fazem mais  artistas como ela... Ô saudade, Derci!",,,
Alexandre Rodrigues,@DevilSandro,2021-11-14T21:41:13.000Z,"Alexandre RodriguesAcabou com a mamata da lei Rouanet o choro é livre, Bolsonaro 2022",,,
Ivan Fernandes,@IvanFer49827862,2021-11-14T21:40:52.000Z,"Ivan FernandesEm resposta a 
@DaniloGentili",,,
"JSANTOS - Deus, Família e Pátria Amada Brasil",@JairoSantosMG,2021-11-14T21:19:32.000Z,"JSANTOS - Deus, Família e Pátria Amada BrasilPq 𝘇𝗲́ 𝗿𝘂𝗲𝗹𝗮 que fica de piti?!
 Pq a mamata lei Rouanet acabou!",,,
Lidia,@LidiaConta,2021-11-14T21:12:24.000Z,LidiaAlguém explica pq artistas viveram da lei  Rouanet?,,2,3
Sidnei Costa,@SidneiC64051918,2021-11-14T21:11:11.000Z,"Sidnei CostaEm resposta a 
@silvionavarro",,,
Juba Stark,@Juba714,2021-11-14T21:02:37.000Z,"Juba StarkEm resposta a 
@jocianezwer",1,,2
Laercio,@jlfilh,2021-11-14T21:02:26.000Z,Laerciona prova do enade hoje foi impossível pra mim não falar sobre a lei rouanet e o desmonte do incentivo à produção artística e cultural pelo MC de Mário Frias.,,,
grazielle lana,@lana_grazielle,2021-11-14T21:01:21.000Z,"grazielle lanaRESPOSTA PARA A GLOBO
Essa #GloboLixo e esses ""artistas"" q assaltaram nosso dinheiro através da Lei Rouanet,devem pagar pelas atrocidades q fizeram na TV aberta brasileira por anos,desinformando,
mentindo,manipulando,
divulgando pornografia e ideologia de gênero
CHEGA desse LIXO!",3,10,13
